continent,location,SUM(new_deaths),SUM(new_cases),pct_deaths_if_infected
Europe,Spain,78216,3524077,2.2194747731108033
"South America",Guyana,296,13283,2.2284122562674096
Africa,Angola,596,26652,2.236229926459553
Asia,Myanmar,3209,142817,2.2469313877199495
Europe,Russia,108290,4750755,2.2794271647348685
"South America",Paraguay,6385,279077,2.2878990386165827
Europe,Moldova,5812,250837,2.317042541570821
Europe,Poland,67502,2792142,2.417570453078676
Europe,Germany,83097,3405365,2.4401789529169413
Europe,Belgium,24230,990229,2.446908745350823
Africa,Mauritania,455,18402,2.4725573307249213
"North America",Honduras,5281,212333,2.487131063000099
"North America",Belize,323,12668,2.549731607199242
Africa,"Democratic Republic of Congo",766,29853,2.5659062740763074
"South America",Colombia,73720,2859724,2.577871151202004
"North America","Antigua and Barbuda",32,1232,2.5974025974025974
"North America",Nicaragua,182,6898,2.638445926355465
Europe,Romania,28109,1055265,2.663691110763647
Africa,Algeria,3253,122108,2.6640351164542864
Asia,Indonesia,45521,1668368,2.728474772951771
Africa,Senegal,1107,40344,2.7439024390243905
"South America",Brazil,403781,14659011,2.754490053933379
Asia,Iran,71758,2499077,2.871380113537918
Europe,"United Kingdom",127775,4432246,2.8828499140165054
Africa,Lesotho,316,10731,2.944739539651477
Africa,Gambia,174,5898,2.950152594099695
Europe,Italy,120807,4022653,3.0031673127162595
Europe,Greece,10381,345033,3.008697718768929
Oceania,Australia,910,29811,3.0525644896179265
Europe,Slovakia,11684,382211,3.0569502185965343
"North America","El Salvador",2124,69198,3.0694528743605307
Europe,"North Macedonia",4855,152367,3.186385503422657
"North America",Guatemala,7524,227671,3.3047687232893077
Africa,Malawi,1148,34078,3.3687422970831626
"South America",Peru,61477,1799445,3.4164422919289006
Africa,"South Africa",54350,1581210,3.4372411001701226
Africa,Tunisia,10722,309119,3.4685671213998495
Africa,Mali,484,13858,3.492567470053399
Africa,Chad,170,4817,3.5291675316587083
Europe,Hungary,27540,779348,3.5337230608149377
Africa,Eswatini,671,18458,3.635280095351609
Africa,Niger,191,5228,3.6534047436878345
Africa,Comoros,146,3834,3.808033385498174
Africa,Liberia,85,2099,4.049547403525489
Europe,Bulgaria,16399,404380,4.0553439833819676
Africa,Zimbabwe,1567,38257,4.0959824345871345
Africa,Tanzania,21,509,4.12573673870334
"South America",Bolivia,12951,303732,4.26395638260045
Europe,"Bosnia and Herzegovina",8551,198461,4.308655101002213
Asia,Afghanistan,2625,59745,4.393673110720562
Asia,China,4828,101946,4.735840543032586
"South America",Ecuador,18631,381862,4.878987697126187
Africa,Somalia,713,13915,5.12396694214876
Africa,Egypt,13339,227552,5.861956827450429
Africa,Sudan,2349,33944,6.920221541362244
Asia,Syria,1592,22733,7.00303523512075
"North America",Mexico,216907,2344755,9.250731952805303
Asia,Yemen,1226,6317,19.407946810194712
Oceania,Vanuatu,1,4,25
